Track Name,Artist Name,Track ID,Album ID,Artist ID,Genre,Danceability,Energy,Loudness,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Key,Time Signature,Mode,Duration (ms),Popularity
Ain't Shit,Doja Cat,5lAnYvAIkSDNXqfo7DyFUm,1nAQbHeOWTfQzbOoFrvndW,5cj0lLjcoR7YOSnhnX0Po5,pop,0.855,0.488,-4.601,0.208,0.506,0,0.347,0.619,124.097,3,4,1,174253,87
Timber (feat. Ke$ha),Pitbull,3cHyrEgdyYRjgJKSOiOtcS,2F7tejLHzTqFq2XLol9ZGy,0TnOYISbd1XYRBk9myaseg,pop,0.581,0.963,-4.087,0.0981,0.0295,0,0.139,0.788,129.992,11,4,1,204160,80
Someone Like You,Adele,5lkpeJwmQKgY3bX2zChjxX,4HYlttFwVHZaz7gguxaN9H,4dpARuHxo51G3z768sgnrY,pop,0.556,0.319,-8.251,0.0281,0.893,0,0.0996,0.294,135.187,9,4,1,285240,47
that way,Tate McRae,7l97ElWmIdVHWUaOeeU5ZC,1fK6nUQDMeIciyfhAADix8,45dkTj5sMRSjrmBSBeiHym,pop,0.453,0.383,-11.015,0.163,0.728,0,0.387,0.333,105.029,0,4,1,175027,82
Classic,MKTO,6FE2iI43OZnszFLuLtvvmg,5IenxFp0vpnXBUxPcwJtbE,2l35CQqtYRh3d8ZIiBep4v,pop,0.72,0.791,-4.689,0.124,0.0384,0,0.157,0.756,102.071,1,4,1,175427,83
drivers license,Olivia Rodrigo,5wANPM4fQCJwkGd4rN57mH,6s84u2TUpR3wdUv4NgKA2j,1McMsnEElThX1knmY4oliG,pop,0.561,0.431,-8.81,0.0578,0.768,1.42e-05,0.106,0.137,143.875,10,4,1,242013,91
Shape of You,Ed Sheeran,7qiZfU4dY1lWllzX7mPBI3,3T4tUhGYeRNVUGevb0wThu,6eUKZXaKkcviH0Ku9w2n3V,pop,0.825,0.652,-3.183,0.0802,0.581,0,0.0931,0.931,95.977,1,4,0,233713,86
Easy On Me,Adele,0gplL1WMoJ6iYaPgMCL0gX,224jZ4sUX7OhAuMwaxp86S,4dpARuHxo51G3z768sgnrY,pop,0.604,0.366,-7.519,0.0282,0.578,0,0.133,0.13,141.981,5,4,1,224695,95
Red Eye (feat. TroyBoi),Justin Bieber,24OeEKPQ8qqNZnPevRHxUT,3uPnO1aZBwMgWK1DI5zve9,1uNFoZAHBGtllmzznpCI3s,pop,0.815,0.816,-4.393,0.0513,0.0501,0.000887,0.0761,0.774,96.033,5,4,0,187453,80
good 4 u,Olivia Rodrigo,6PERP62TejQjgHu81OHxgM,3rMjL8NA5Wh2hbMNk2fSlY,1McMsnEElThX1knmY4oliG,pop,0.556,0.661,-5.052,0.204,0.3,0,0.101,0.668,168.56,6,4,0,178148,55
Heat Waves,Glass Animals,3USxtqRwSYz57Ewm6wWRMp,5bfpRtBW7RNRdsm3tRyl3R,4yvcSjfu4PC0CYQyLy4wSq,pop,0.761,0.525,-6.9,0.0944,0.44,6.7e-06,0.0921,0.531,80.87,11,4,1,238805,88
Leave Before You Love Me (with Jonas Brothers),Marshmello,4qu63nuBpdn0qHUHuObEj1,66JuK41D3LpkbX3HCTGcQk,64KEffDW9EtZ1y2vBYgq8T,pop,0.721,0.738,-4.77,0.0403,0.00226,4.41e-06,0.118,0.637,119.976,7,4,1,154983,88
Hold On,Justin Bieber,4u4NyuceXP7Uzh7XFJKCr1,1btu3XEwHsImFreF8dVV6J,1uNFoZAHBGtllmzznpCI3s,pop,0.658,0.634,-5.797,0.0413,0.0106,0,0.132,0.29,139.98,1,4,0,170813,81
"I am not a woman, I'm a god",Halsey,5RhFmJifQe83FpQ6ZFFTZ5,3sq0hRtlT2SYeYajr5Cx22,26VFTg2z8YR0cCuwLzESi2,pop,0.523,0.702,-6.74,0.0462,0.00397,0.0325,0.063,0.494,179.992,6,4,0,176413,77
Save Your Tears (with Ariana Grande) (Remix),The Weeknd,37BZB0z9T8Xu7U3e65qxFy,2fyOpT5c9kxR8zbDh6UtXh,1Xyo4u8uXC1ZmMpatF05PJ,pop,0.65,0.825,-4.645,0.0325,0.0215,2.44e-05,0.0936,0.593,118.091,0,4,1,191014,91
Summer of Love (Shawn Mendes & Tainy),Shawn Mendes,0z8hI3OPS8ADPWtoCjjLl6,4nProAxFavzKkbaRQ2Otyk,7n2wHs1TKAczGzO7Dd2rGr,pop,0.776,0.808,-4.501,0.117,0.0297,0.000127,0.103,0.494,123.988,11,4,1,184104,87
deja vu,Olivia Rodrigo,61KpQadow081I2AsbeLcsb,3lwHyR4joA1xB7Nun21EP6,1McMsnEElThX1knmY4oliG,pop,0.439,0.61,-7.236,0.116,0.593,1.07e-05,0.341,0.172,181.088,9,4,1,215508,51
Peaches (feat. Daniel Caesar & Giveon),Justin Bieber,4iJyoBOLtHqaGxP12qzhQI,5dGWwsZ9iB2Xc3UKR0gif2,1uNFoZAHBGtllmzznpCI3s,pop,0.677,0.696,-6.181,0.119,0.321,0,0.42,0.464,90.03,0,4,1,198082,92
Hurricane (with Tyson Ritter),Cheat Codes,55Bq1eOkO3ldFHSkP8PGk9,2SYo1HLSNoJ49ZyALUhVAt,7DMveApC7UnC2NPfPvlHSU,pop,0.583,0.664,-6.052,0.0516,0.126,0,0.246,0.525,149.982,3,4,1,144808,63
Kiss Me More (feat. SZA),Doja Cat,748mdHapucXQri7IAO8yFK,1OnzqJTL9bwe4kvaLxRYxt,5cj0lLjcoR7YOSnhnX0Po5,pop,0.762,0.701,-3.541,0.0286,0.235,0.000158,0.123,0.742,110.968,8,4,1,208867,91
Therefore I Am,Billie Eilish,54bFM56PmE4YLRnqpW6Tha,5G58VVE9ub1KE01Mvbd8XM,6qqNVTkY8uBg9cP3Jd7DAH,pop,0.889,0.34,-7.773,0.0697,0.218,0.13,0.055,0.716,94.009,11,4,0,174321,80
Bad Habits,Ed Sheeran,6PQ88X9TkUIAUIZJHW2upE,01NhUvviMytvV12pmJiDZH,6eUKZXaKkcviH0Ku9w2n3V,pop,0.808,0.897,-3.712,0.0348,0.0469,3.14e-05,0.364,0.591,126.026,11,4,0,231041,97
STAY (with Justin Bieber),The Kid LAROI,5HCyWlXZPP0y6Gqq8TgA20,4QLAtpLNUsHEYrcHXmMIZZ,2tIP7SsRs7vjIcLrU85W8J,pop,0.591,0.764,-5.484,0.0483,0.0383,0,0.103,0.478,169.928,1,4,1,141806,100
Way 2 Sexy (with Future & Young Thug),Drake,0k1WUmIRnG3xU6fvvDVfRG,3SpBlxme9WbeQdI9kx7KAV,3TVXtAsR1Inumwj472S9r4,pop,0.803,0.597,-6.035,0.141,0.000619,4.5e-06,0.323,0.331,136.008,11,4,0,257605,93
You,Regard,2cc8Sw1OnCuA5bV8nqWqpE,6cWawCk4DohREQA42eEOe1,4ofCBoyEiGSePFAG500xev,pop,0.691,0.695,-5.6,0.0367,0.0592,0,0.0647,0.514,106.064,0,4,1,233386,81
Take My Breath,The Weeknd,6OGogr19zPTM4BALXuMQpF,6DmXKM13nNgIIby2FdK0f8,1Xyo4u8uXC1ZmMpatF05PJ,pop,0.748,0.74,-6.01,0.0484,0.0107,2.18e-05,0.101,0.518,121.004,8,4,1,220196,89
MONEY,LISA,7hU3IHwjX150XLoTVmjD0q,66OYt73mqan1hWa78BhfPd,5L1lO4eRHmJ7a0Q6csE5cT,pop,0.831,0.554,-9.998,0.218,0.161,6.12e-05,0.152,0.396,140.026,1,4,0,168228,91
Wish You Were Sober,Conan Gray,0kn2gu8Pd03DiYHzRvX2Xk,2CMlkzFI2oDAy5MbyV7OV5,4Uc8Dsxct0oMqx0P6i60ea,pop,0.701,0.728,-5.226,0.0468,0.0178,0,0.17,0.696,91.071,2,4,1,168880,69
Carried Away (Love To Love) (with Madison Beer) [Tchami Remix],Surf Mesa,4UWYz4VDyycuuyN2A9B2sY,3jmkm8U4Fp8LX1qBH0nzmx,1lmU3giNF3CSbkVSQmLpHQ,pop,0.704,0.66,-10.931,0.0439,0.0662,0.596,0.075,0.826,127.008,10,4,0,289500,56
drivers license,Olivia Rodrigo,7lPN2DXiMsVn7XUKtOW1CS,66FPnVL9G4CMKy3wvaGTcr,1McMsnEElThX1knmY4oliG,pop,0.585,0.436,-8.761,0.0601,0.721,1.31e-05,0.105,0.132,143.874,10,4,1,242014,50
Blinding Lights,The Weeknd,0VjIjW4GlUZAMYd2vXMi3b,4yP0hdKOZPNshxUOjY0cZj,1Xyo4u8uXC1ZmMpatF05PJ,pop,0.514,0.73,-5.934,0.0598,0.00146,9.54e-05,0.0897,0.334,171.005,1,4,1,200040,92
Lost Cause,Billie Eilish,2xdwCJLfKCkat14mlgR26M,0hPbP7ckqqFVftdTPatlED,6qqNVTkY8uBg9cP3Jd7DAH,pop,0.671,0.336,-8.494,0.241,0.705,0.00751,0.0577,0.518,75.051,10,4,0,212496,57
For The Night,Grey,4TEaJcvzB913p8iCoul3uJ,0VIUbZXYrU08VgY1CHWJew,4lDBihdpMlOalxy1jkUbPl,pop,0.791,0.604,-3.374,0.0457,0.243,1.1e-06,0.166,0.31,108.047,9,4,1,167222,49
